filename,mean_diameter,median_diameter,mode_diameter,std_diameter,fiber_count,3-8,8-13,13-18,18-23,23-28,28-33,33-38,38-43,43-48,48-53,53-58,58-63,63-68,68-73,73-78,78-83,83-88,88-93,93-98,98-103
IVM4101#_TI_25XW_Rhodopsin_Au.png,10.14810845809912,10.0,10.0,4.321814705963664,40857,12189,19532,6839,1907,316,67,7,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4102#_TI_25XW_Rhodopsin_Au.png,9.880605555041825,10.0,10.0,4.248384480892457,126798,40732,59305,20003,5988,708,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4103#_TI_25XW_Rhodopsin_Au.png,9.87461967736704,8.94427190999916,10.0,4.307015387612931,128147,41886,59056,20225,5937,961,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4104#_TI_25XW_Rhodopsin_Au.png,9.683889794978393,8.94427190999916,10.0,4.131859562705336,103383,34600,49135,15086,3934,538,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4105#_TI_25XW_Rhodopsin_Au.png,9.515884335592231,8.94427190999916,10.0,4.058069901143819,87211,30403,41059,12309,3027,338,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4106#_TI_25XW_Rhodopsin_Au.png,9.418227909672057,8.48528137423857,10.0,4.008578380072066,77702,27933,36112,10979,2367,243,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4107#_TI_25XW_Rhodopsin_Au.png,9.297262508381163,8.48528137423857,10.0,3.920612268971854,70413,25763,33030,9415,1965,209,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4108#_TI_25XW_Rhodopsin_Au.png,9.364983455097523,8.48528137423857,10.0,3.9146035948723945,57552,20524,27451,7780,1596,184,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4109#_TI_25XW_Rhodopsin_Au.png,9.34040650103185,8.48528137423857,10.0,3.8836469066044788,53727,19460,25157,7553,1441,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4110#_TI_25XW_Rhodopsin_Au.png,9.117961796294374,8.246211251235321,10.0,3.8438166580017787,45352,17577,20670,5990,983,117,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4111#_TI_25XW_Rhodopsin_Au.png,9.10000862289927,8.246211251235321,10.0,3.717812114139355,38527,14513,18155,5028,782,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4112#_TI_25XW_Rhodopsin_Au.png,8.916026810827717,8.246211251235321,10.0,3.5791320018486252,34633,13553,16727,3710,611,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4113#_TI_25XW_Rhodopsin_Au.png,8.632650331078048,8.0,10.0,3.4971943168266577,26326,11180,12257,2495,356,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4114#_TI_25XW_Rhodopsin_Au.png,8.140914326287936,8.0,4.0,3.4104259370105403,18284,9029,7610,1399,241,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4115#_TI_25XW_Rhodopsin_Au.png,8.090742521807542,8.0,4.0,3.27649463764588,11906,5796,5196,818,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4116#_TI_25XW_Rhodopsin_Au.png,7.707043338526807,7.211102550927978,4.0,3.117557509193962,6764,3632,2666,445,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4117#_TI_25XW_Rhodopsin_Au.png,7.796852055527384,7.211102550927978,6.0,3.1518654098462147,4126,2170,1670,251,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4118#_TI_25XW_Rhodopsin_Au.png,7.178104732470954,6.324555320336759,4.0,2.741062846934445,2538,1518,949,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4119#_TI_25XW_Rhodopsin_Au.png,7.123282556581287,6.0,4.0,2.827614029358155,1469,914,496,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IVM4120#_TI_25XW_Rhodopsin_Au.png,6.718381752391082,6.0,4.0,2.461881047738333,643,428,206,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
